-22.00169469160027;-47.93321388888889;5.0
-22.001739682759506;-47.93323804195358;5.0
-22.001823914336224;-47.93328643069009;5.0
-22.001890892170636;-47.9333494186547;5.0
-22.00194345113667;-47.93343661475542;5.0
-22.001988456779845;-47.9334887857431;5.0
-22.002021475739824;-47.93344635141695;5.0
-22.002048615317257;-47.933364006142284;5.0
-22.00208093648125;-47.93328964305733;5.0
-22.002095349643216;-47.93321676976203;5.0
-22.00206454910354;-47.93314979500755;5.0
-22.002015796608653;-47.9330840042457;5.0
-22.001969870548074;-47.933019046757764;5.0
-22.00193012787452;-47.93295210597225;5.0
-22.001907707376745;-47.93287647863226;5.0
-22.00189025828617;-47.93279713867477;5.0
-22.001871814914157;-47.93271682498757;5.0
-22.00185188322996;-47.932636706046324;5.0
-22.001840586104052;-47.93255644776629;5.0
-22.001856656609004;-47.93246675683393;5.0
-22.001862291028875;-47.932413468645194;5.0
-22.001818984933116;-47.93245500921051;5.0
-22.00175259361076;-47.932527335646604;5.0
-22.001677431934425;-47.93255717205259;5.0
-22.00159020877278;-47.93255675956796;5.0
-22.001522159644434;-47.93255149700466;5.0
